layer,head,mean_gap,p99,p999,cum4,cum8,cum16,cum32
6,18,1281.5190843667096,6,24,0.9869237988613925,0.9930868338185104,0.9971259603969647,0.9997444955076539
6,19,1543.965575659341,5,17,0.9859559653651662,0.9967787199635482,0.9989820452224434,0.9999415466935471
6,20,1504.2705194863715,4,25,0.9909442015039645,0.9945732549516221,0.9974899258450423,0.9996803684650426
6,21,1355.9714750151727,4,21,0.9918347525374775,0.9957748132642849,0.998349623779175,0.999841413068167
6,22,1586.2010832175547,4,16,0.9916504431541437,0.9967456108941325,0.9990342589607636,0.9999087926930844
6,23,1643.07518663282,8,22,0.9715739206355112,0.990810083425884,0.9976160594374701,0.9998364997337252
6,24,1573.0593515612486,7,21,0.9807475993465757,0.9941483770944783,0.9981198243527851,0.9998596182037017
6,25,1464.9139456275045,5,22,0.9895317330479227,0.9940510063853415,0.9976009113555097,0.9998190363156162
6,26,1801.0800903417066,6,23,0.983355957319542,0.9937719297180907,0.9974704113531018,0.999790321486324
6,27,1478.117285819431,3,13,0.9929897959373796,0.9979657498849102,0.9993877605149005,0.9999321743943838
6,28,1532.2457482057964,9,26,0.9803762017943289,0.9896202641410915,0.9963669423118978,0.9997312127313136
6,29,1539.7496939815417,3,13,0.9943731109648144,0.9980903003978876,0.9993437479689897,0.9999416470113592
6,30,1571.25647978263,3,16,0.9933906875271187,0.9968742208563186,0.9990349784599709,0.9999388705486343
6,31,1593.546397879164,6,24,0.986182136474553,0.992805646953908,0.9970069845731112,0.9997479549384346
7,0,1166.6313304653356,4,19,0.9912938217059286,0.9957430350003394,0.9985616468607371,0.9999032570024681
7,1,1557.3551276760056,7,24,0.9847592455182582,0.9936507578542388,0.9978979735093844,0.9996564699218075
7,2,1502.6161764925737,3,21,0.993041889677231,0.9956691629017728,0.998294247531814,0.9998245409402319
7,3,1625.3627098869683,6,23,0.9872597344255883,0.9931452179215793,0.9977008385075977,0.999801890736267
7,4,1570.8124462314934,8,21,0.977269469384836,0.9911233209829773,0.997967899657027,0.99986420214845
7,5,1200.0513404759356,2,17,0.9948165454891034,0.9971973116084636,0.9989409592841515,0.9999172753497195
7,6,1342.9486654408383,3,9,0.9976283406387252,0.9989821525479111,0.9995840033333083,0.9998988626630336
7,7,1427.7847167892326,6,23,0.9851876386334839,0.9957600278549054,0.9983029706391615,0.9996443765749242
7,8,1337.7082483385223,5,22,0.9855424280850845,0.9946362880374462,0.9981669833239628,0.9998260583459362
7,9,1478.90185043974,8,20,0.9742364849675929,0.9904748850902647,0.9979017039919021,0.9999149070500334
7,10,1826.1562277370058,3,5,0.9986687942624356,0.9998406713747201,0.9999510903882681,0.9999857334922428
7,11,1600.4188208519881,6,21,0.983844443079747,0.9955203497725703,0.9982862051110923,0.9997803290602237
7,12,1634.0812562632648,5,12,0.9878013949471487,0.9974461848926224,0.9995971543192591,0.9999857317886164
7,13,1661.5364141006767,10,23,0.974234419200594,0.9879656250965763,0.9966158762154883,0.9997571951666638
7,14,1148.3075376589939,4,22,0.9909034521814658,0.9948998465487016,0.9979756566058802,0.9997858723479902
7,15,1751.6299247303516,6,27,0.9879628152542697,0.9928310534195193,0.9967383070042383,0.9994887306422658
7,16,1643.5113008715755,8,21,0.9814493251525028,0.9916597197361293,0.997894711251636,0.9999258210699732
7,17,1439.4531200892534,4,16,0.9914981493100714,0.9966653981058697,0.9990618193580475,0.9999474793560682
7,18,1448.6657937504606,6,15,0.9864667775772352,0.9966145055745088,0.9992757674947798,0.9999486916765035
7,19,1595.3420156340653,8,20,0.9765443314093712,0.9925173473604855,0.9984381006457278,0.9998860813131321
7,20,1713.897133288638,4,21,0.9910771874314439,0.9944714520607283,0.9979389447731914,0.9998856042704337
