src,seq,layer,method,rho,kl,relL2
c4,0,24,a,0.125,0.03614668548107147,0.295894980430603
c4,0,24,b,0.5,0.0402425117790699,0.33348900079727173
c4,0,24,b,0.25,0.10843290388584137,0.5166139602661133
c4,0,24,b,0.125,0.18272733688354492,0.6421122550964355
c4,0,24,bp,0.5,0.06541252136230469,0.4203464090824127
c4,0,24,bp,0.25,0.15585853159427643,0.6164156794548035
c4,0,24,bp,0.125,0.2429685890674591,0.7119687795639038
c4,0,24,c,0.5,0.039152778685092926,0.3256862461566925
c4,0,24,c,0.25,0.1001955047249794,0.5077566504478455
c4,0,24,c,0.125,0.16235867142677307,0.6071783304214478
c4,0,24,d,0.5,0.030577128753066063,0.2660854160785675
c4,0,24,d,0.25,0.06372076272964478,0.41324955224990845
c4,0,24,d,0.125,0.0969281941652298,0.49289682507514954
c4,0,25,a,0.5,0.010298144072294235,0.18546265363693237
c4,0,25,a,0.25,0.023323260247707367,0.27564215660095215
c4,0,25,a,0.125,0.041698675602674484,0.40844523906707764
c4,0,25,b,0.5,0.03725532814860344,0.41065549850463867
c4,0,25,b,0.25,0.09754300117492676,0.6529473066329956
c4,0,25,b,0.125,0.1603306084871292,0.7721613049507141
c4,0,25,bp,0.5,0.060944583266973495,0.5218734741210938
c4,0,25,bp,0.25,0.1369902640581131,0.7346301674842834
c4,0,25,bp,0.125,0.20553627610206604,0.8271074295043945
c4,0,25,c,0.5,0.040207188576459885,0.4177069365978241
c4,0,25,c,0.25,0.0940471813082695,0.6448225378990173
c4,0,25,c,0.125,0.1452316790819168,0.740402340888977
c4,0,25,d,0.5,0.03898265212774277,0.37456274032592773
c4,0,25,d,0.25,0.06695926934480667,0.5388182997703552
c4,0,25,d,0.125,0.09604659676551819,0.6415478587150574
c4,0,26,a,0.5,0.011437835171818733,0.15020819008350372
c4,0,26,a,0.25,0.026347286999225616,0.23447935283184052
c4,0,26,a,0.125,0.045139387249946594,0.3288190960884094
c4,0,26,b,0.5,0.04789666831493378,0.3337329030036926
c4,0,26,b,0.25,0.12120453268289566,0.501409113407135
c4,0,26,b,0.125,0.1991773098707199,0.6188443899154663
c4,0,26,bp,0.5,0.07641355693340302,0.40279480814933777
c4,0,26,bp,0.25,0.16378164291381836,0.5680535435676575
c4,0,26,bp,0.125,0.2537497580051422,0.682178795337677
c4,0,26,c,0.5,0.047022223472595215,0.32249194383621216
c4,0,26,c,0.25,0.11255156248807907,0.4915321171283722
c4,0,26,c,0.125,0.17776809632778168,0.5877519845962524
c4,0,26,d,0.5,0.03996943682432175,0.2962687015533447
c4,0,26,d,0.25,0.07465490698814392,0.41839680075645447
c4,0,26,d,0.125,0.10854566097259521,0.4959013760089874
c4,0,27,a,0.5,0.009497321210801601,0.1645163744688034
c4,0,27,a,0.25,0.02324352040886879,0.28103598952293396
c4,0,27,a,0.125,0.042336173355579376,0.40149345993995667
c4,0,27,b,0.5,0.04521627351641655,0.4281579554080963
c4,0,27,b,0.25,0.1037292331457138,0.6105173230171204
c4,0,27,b,0.125,0.15636895596981049,0.7428791522979736
c4,0,27,bp,0.5,0.05738265812397003,0.4639093577861786
c4,0,27,bp,0.25,0.11459030210971832,0.6526413559913635
c4,0,27,bp,0.125,0.17087692022323608,0.7941683530807495
c4,0,27,c,0.5,0.04516969248652458,0.41408318281173706
c4,0,27,c,0.25,0.09735947847366333,0.6011714339256287
c4,0,27,c,0.125,0.14322543144226074,0.6987716555595398
c4,0,27,d,0.5,0.03742041438817978,0.3754114806652069
c4,0,27,d,0.25,0.07080712914466858,0.5390745997428894
c4,0,27,d,0.125,0.10131269693374634,0.6149093508720398
c4,0,28,a,0.5,0.012430161237716675,0.1467539221048355
c4,0,28,a,0.25,0.028194312006235123,0.24944904446601868
c4,0,28,a,0.125,0.04851285368204117,0.36415359377861023
c4,0,28,b,0.5,0.04891587048768997,0.38580918312072754
c4,0,28,b,0.25,0.11961252987384796,0.5767520666122437
c4,0,28,b,0.125,0.17715734243392944,0.6620272994041443
c4,0,28,bp,0.5,0.07315047085285187,0.4554699659347534
c4,0,28,bp,0.25,0.13474422693252563,0.5932394862174988
c4,0,28,bp,0.125,0.2128603607416153,0.7159730792045593
c4,0,28,c,0.5,0.05004167556762695,0.379726380109787
c4,0,28,c,0.25,0.10987658053636551,0.5520038604736328
c4,0,28,c,0.125,0.1669590175151825,0.6411991119384766
c4,0,28,d,0.5,0.041545696556568146,0.33006879687309265
c4,0,28,d,0.25,0.07683874666690826,0.4775567948818207
c4,0,28,d,0.125,0.10987931489944458,0.5602392554283142
c4,0,29,a,0.5,0.008608635514974594,0.11343694478273392
c4,0,29,a,0.25,0.02269183099269867,0.18707452714443207
c4,0,29,a,0.125,0.04101501405239105,0.26627129316329956
c4,0,29,b,0.5,0.04520513489842415,0.2936597764492035
c4,0,29,b,0.25,0.11743201315402985,0.4729117155075073
c4,0,29,b,0.125,0.19426819682121277,0.5840027332305908
c4,0,29,bp,0.5,0.08255913853645325,0.3956666588783264
c4,0,29,bp,0.25,0.1634306013584137,0.5406277775764465
c4,0,29,bp,0.125,0.2601819336414337,0.6581333875656128
c4,0,29,c,0.5,0.048035137355327606,0.3099759817123413
